species,morph_SVL,morph_head_width,morph_head_length,morph_sex,morph_hind_leg_length,number_pores_males,trunk_length,trunk_width,foreleg_length,femur_length,head_depth,snout_length,snout_depth,naris_to_eye,eye_to_ear,internarial_dist,interorbital_dist,orbit_length,rostral_scale_height,rostral_scale_width,supralabial_scales,infralabial_scales,internarial_scales,tail_length,tail_depth,tail_width,age,toe_length,number_toe_lamellae,division_type,number_finger_lamellae
Gehyra cfoccidentalis,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,61,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,53,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,57,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,53,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,65,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,62,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,62,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,60,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,49,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,43,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,48,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,50,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,65,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,53,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,63,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,64,12,15,M,8.9,,,,,8,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,51,10,12,J,7.3,,,,,7,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,61,12,15,F,8.1,,,,,8,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,61,11,15,F,8.8,,,,,8,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,47,9,12,J,6.5,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,42,9,11,J,6.7,,,,,6,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,56,10,13,M,8.3,,,,,8,,,,,,,,,,,,,,,,,,,,,
Gehyra cfoccidentalis,46,9,11,J,7.3,,,,,7,,,,,,,,,,,,,,,,,,,,,
Gehyra girloorloo,44.17,9,10,F,4.66,,17.34,,5.24,4,4.16,4.17,,3,2.43,1.52,3.17,2.4,0.93,1.66,7,7,1,,,,,,6,,5
Gehyra girloorloo,46.975,8,10,F,5.69,,21.135,8.19,5.425,5,5.265,4.34,3,3,3.13,1.34,3.26,2.57,0.89,1.47,7,7,2,,,,,,7,,6
Gehyra girloorloo,45.395,8,10,F,5.43,,19.575,7.76,5.11,5,5.19,4.31,3,3,2.75,1.21,3.14,2.9,0.96,1.72,7,7,,,,,,,7,,6
Gehyra girloorloo,40.18,8,9,M,5.42,9,15.055,7,4.82,5,4.54,3.945,3,3,2.65,1.3,2.95,2.33,0.73,1.76,7,7,,,,,,,7,,6
Gehyra girloorloo,42.22,8,10,M,5.325,9,18.8,8.13,4.815,5,5.255,3.98,3,3,2.87,1.26,2.52,2.69,1.01,1.53,8,8,,,,,,,7,,6
Gehyra girloorloo,43.37,8,10,M,5.03,9,17.01,,4.99,5,4.87,4.87,,3,2.82,1.25,2.86,2.51,1.03,1.51,9,9,,,,,,,6,,5
Gehyra girloorloo,41.45,8,10,M,5.17,11,16.92,,5.62,5,4,4.37,,3,2.46,1.36,3.03,2.76,0.85,1.71,8,8,,,,,,,6,,5
Gehyra girloorloo,41,8,10,M,4.67,8,16.48,,5.15,4,5.24,4.44,,3,2.83,1.2,3.04,2.58,0.91,1.41,8,7,1,,,,,,6,,6
Gehyra girloorloo,39.76,7,10,M,4.81,8,16.49,,3.94,4,4.7,3.85,,2,2.93,1.36,2.61,2.78,0.9,1.52,9,8,1,,,,,,7,,6
Gehyra girloorloo,41.79,8,10,F,5.12,,16.63,,4.72,5,5.59,4.38,,3,3.04,1.5,3.15,2.54,0.98,1.75,8,7,,,,,,,6,,5
Gehyra girloorloo,41.25,8,10,M,5.43,9,18.38,,4.97,5,4.74,4.48,,3,2.94,1.49,3.24,2.43,0.87,1.49,8,7,,,,,,,7,,6
Gehyra girloorloo,46,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra girloorloo,42,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra girloorloo,44.18,8,11,M,5.14,9,17.3,,4.82,5,3.99,4.63,,3,3.2,1.32,2.71,2.35,1.06,1.4,8,8,,,,,,,6,,6
Gehyra girloorloo,42.16,8,10,M,4.91,8,18.68,,4.65,4,4.2,4.54,,3,2.66,1.27,2.63,2.42,0.92,1.36,9,8,,,,,,,6,,6
Gehyra girloorloo,47,9,11,F,5.9,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra girloorloo,40,7,9,M,5.8,,,,,5,,,,,,,,,,,,,,,,,,,,,
Gehyra girloorloo,43.41,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehyra girloorloo,44.33,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
