species,morph_SVL,morph_head_width,morph_head_length,morph_hind_leg_length,trunk_length,trunk_width,foreleg_length,femur_length,head_depth,snout_length,snout_depth,naris_to_eye,eye_to_ear,internarial_dist,interorbital_dist,orbit_length,rostral_scale_height,rostral_scale_width,supralabial_scales,infralabial_scales,internarial_scales,toe_length,number_toe_lamellae,division_type,number_finger_lamellae
Gehyra cfoccidentalis,61,11.5,15,8.45,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra girloorloo,45.22166667,8.4,10.2,5.36,18.67,7.975,5.12375,4.8,5.05125,4.3,3,3,2.8375,1.3925,3.18,2.6025,0.94,1.65,7.25,7,1.5,NA,6.5,NA,5.5
Gehyra granulum,40.19152174,7.954545455,9.454545455,5.072954545,16.32175,7.93,4.598421053,4.545454545,4.375,4.33425,3,3.05,2.9425,1.1205,2.947,2.335263158,0.9885,1.5225,7.947368421,7.15,1,2.58,5.7,NA,5.2
Gehyra kimberleyi,47.88115385,9.307692308,10.76923077,6.200384615,19.4515,9.33,5.275,5.692307692,5.349,4.8135,4,3.5,3.349,1.411,3.348,2.764,1.087,1.72,8,7.4,1.142857143,NA,6.7,NA,6
Gehyra multiporosa,47.2446875,8.933333333,11.26666667,5.854333333,20.20166667,10.07333333,5.1425,5.4,5.419166667,5.154166667,4,3.6,3,1.53,3.522,3.108,1.126,1.782,8,7.6,1,NA,6.833333333,NA,6.2
Gehyra nana,42.67423664,8.338582677,10.25984252,5.52718254,16.52954545,9.006,4.562467532,5.047619048,4.412142857,4.566038961,3,3.116883117,3.091948052,1.350519481,3.188311688,2.467662338,0.978961039,1.638961039,8.028169014,7.450704225,1,2.91,6.181818182,NA,5.506493506
Gehyra occidentalis,59.19229167,11.6875,13.9375,8.408958333,23.258125,11.3275,6.8925,7.895833333,6.401875,6.14375,5,4.583333333,3.911666667,1.649166667,3.915833333,3.3875,1.291666667,1.958333333,9.083333333,8.75,1,4.5875,8.6875,NA,7.916666667
Gehyra paranana,52.09333333,10.11111111,12.44444444,6.788333333,20.54166667,9.394,5.594166667,6.222222222,5.25,5.340833333,3.4,3.8,3.724,1.552,3.5,3.052,1.17,1.98,7.8,7.8,1,NA,7.166666667,NA,6
Gehyra pluraporosa,43.19,8.666666667,9.666666667,3.916666667,17.235,NA,3.923333333,3.333333333,4.023333333,4.43,NA,3,2.623333333,1.463333333,3.546666667,2.416666667,1.07,1.713333333,7,6.666666667,1,NA,6.333333333,NA,5.666666667
Gehyra pseudopunctata,53.51916667,9.666666667,12,7.303333333,22.73,9.75,6.13875,7,5.14875,5.39125,3,3.75,3.395,1.35,3.6425,2.9025,1.1125,1.985,8.5,7.75,1,NA,7.25,NA,6.75
Gehyra spheniscus,44.355,8.166666667,10.83333333,6.065,17.76,8.09,5.596666667,5.5,4.795,4.9,3.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,7,3,NA
Gehyra xenopus,69.25352941,12.6,15.7,10.072,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
