specimen_local_id,Group,lineage_from_mtDNA,latitude,longitude,morph_SVL,morph_head_width,morph_head_length,morph_sex,morph_hind_leg_length,number_pores_males,trunk_length,trunk_width,foreleg_length,femur_length,head_depth,snout_length,snout_depth,naris_to_eye,eye_to_ear,internarial_dist,interorbital_dist,orbit_length,rostral_scale_height,rostral_scale_width,supralabial_scales,infralabial_scales,internarial_scales,tail_length,tail_depth,tail_width,age,toe_length,number_toe_lamellae,division_type,number_finger_lamellae
85096,clade1,aus1,-16.63833,135.84622,65.38,11,14,F,8.16,,,,,8,,,,,,,,,,,,,,,,,,,,,
85117,clade1,aus1,-16.63833,135.84622,47.45,8,11,F,6.73,,,,,6,,,,,,,,,,,,,,,,,,,,,
85981,clade1,aus1,-17.14914,125.45947,56.05,10,12,F,8.19,,,,,8,,,,,,,,,,,,,,,,,,,,,
86134,clade1,aus1,-17.50882,126.11109,68.98,12,15,F,10.12,,,,,10,,,,,,,,,,,,,,,,,,,,,
86485,clade1,aus1,-16.0473,126.7017,65.67,10,14,F,8.65,,,,,8,,,,,,,,,,,,,,,,,,,,,
86516,clade1,aus1,-17.6799,127.6921,46.95,10,11,F,7.92,,,,,7,,,,,,,,,,,,,,,,,,,,,
86803,clade1,aus1,-18.315,133.7961,68.86,11,14,F,6.88,,30.12,10.58,6.13,6,7.15,5.99,5,,,,,,,,,,,,,,,5.92,9,,
92632,clade1,aus1,-14.91414,133.70972,44.98,8,11,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
92689,clade1,aus1,-14.77938,134.66667,64.59,11,14,F,7.31,,25.69,11.14,6.95,7,6.84,5.9,5,,,,,,,,,,,,,,,5.97,9,,
92823,clade1,aus1,-15.62723,135.4623,58.55,10,13,F,6.54,,24.18,10.37,6.05,6,6.18,5.58,4,,,,,,,,,,,,,,,5.33,9,,
92881,clade1,aus1,-15.67952,135.62474,60.97,11,14,F,7.71,,26.45,11.08,6.41,7,7.23,5.63,4,,,,,,,,,,,,,,,5.56,9,,
92935,clade1,aus1,-16.27425,136.08155,59.83,9,13,F,8.31,,,,,8,,,,,,,,,,,,,,,,,,,,,
93689,clade1,aus1,-18.42522,127.81967,70.27,10,16,F,6.95,,,,,6,,,,,,,,,,,,,,,,,,,,,
93697,clade1,aus1,-17.51892,129.87592,66.7,12,14,F,7.87,,,,,7,,,,,,,,,,,,,,,,,,,,,
93739,clade1,aus1,-15.83406,129.10477,61.49,10,13,F,7.68,,,,,7,,,,,,,,,,,,,,,,,,,,,
96850,clade1,aus1,-18.3241,125.7984,61.93,11,13,F,7.74,,27.62,10.54,6.5,7,7.21,5.5,5,,,,,,,,,,,,,,,5.95,9,,
96874,clade1,aus1,-18.523,125.9227,66,12,15,F,8.6,,,,,8,,,,,,,,,,,,,,,,,,,,,
97551,clade1,aus1,-14.90591,135.0141,61.91,9,14,F,8.38,,,,,8,,,,,,,,,,,,,,,,,,,,,
97552,clade1,aus1,-14.90591,135.0141,65.63,10,14,F,8.13,,,,,8,,,,,,,,,,,,,,,,,,,,,
97554,clade1,aus1,-14.74554,134.69163,71.79,11,15,F,8.01,,,,,8,,,,,,,,,,,,,,,,,,,,,
101439,clade1,aus1,-16.97317,135.80304,68.06,11,15,F,7.84,,30.13,10.84,6.95,7,6.97,5.98,5,,,,,,,,,,,,,,,7.19,10,,
101957,clade1,aus1,-16.66349,128.52646,61.25,11,13,F,8.23,,26.9,11.15,7.3,8,6.71,5.41,4,,,,,,,,,,,,,,,5.71,7,,
102123,clade1,aus1,-15.53519,128.71225,49.57,10,12,F,7.44,,19.74,10.66,5.43,7,5.55,5.32,4,,,,,,,,,,,,,,,4.82,9,,
