species,latitude,longitude,specimen_local_id,map_species
Gehyra cfoccidentalis,-17.558272,125.098489,90534,cf occidentalis
Gehyra cfoccidentalis,-17.91245,125.28265,90616,cf occidentalis
Gehyra cfoccidentalis,-17.91662,125.3024,90617,cf occidentalis
Gehyra cfoccidentalis,-17.86138,125.33833,90618,cf occidentalis
Gehyra cfoccidentalis,-17.60777778,125.1455556,90619,cf occidentalis
Gehyra cfoccidentalis,-18.103889,125.701667,90632,cf occidentalis
Gehyra cfoccidentalis,-17.90913,125.28525,37907,cf occidentalis
Gehyra cfoccidentalis,-17.6945,125.1436,53555,cf occidentalis
Gehyra cfoccidentalis,-17.69424,125.14295,53560,cf occidentalis
Gehyra cfoccidentalis,-17.69452,125.14363,53566,cf occidentalis
Gehyra cfoccidentalis,-17.69504,125.14426,53567,cf occidentalis
Gehyra cfoccidentalis,-17.69529,125.14397,55159,cf occidentalis
Gehyra cfoccidentalis,-17.69499,125.14423,55160,cf occidentalis
Gehyra cfoccidentalis,-17.6748,125.0704,90533,cf occidentalis
Gehyra cfoccidentalis,-18.02674,125.54425,90626,cf occidentalis
Gehyra cfoccidentalis,-18.03091,125.5415,90631,cf occidentalis
Gehyra cfoccidentalis,-18.02746,125.54417,93785,cf occidentalis
Gehyra cfoccidentalis,-18.1063,125.68967,93788,cf occidentalis
Gehyra cfoccidentalis,-18.1064,125.6899,93790,cf occidentalis
Gehyra cfoccidentalis,-18.02729,125.54383,93791,cf occidentalis
Gehyra cfoccidentalis,-18.02732,125.54452,93797,cf occidentalis
Gehyra cfoccidentalis,-18.0272,125.54402,93812,cf occidentalis
Gehyra cfoccidentalis,-18.1048,125.6919,93817,cf occidentalis
Gehyra cfoccidentalis,-17.9173,125.3029,93824,cf occidentalis
Gehyra cfoccidentalis,-18.10466,125.70127,93826,cf occidentalis
Gehyra cfoccidentalis,-17.69439,125.14464,93827,cf occidentalis
Gehyra cfoccidentalis,-17.69514,125.14427,93829,cf occidentalis
Gehyra cfoccidentalis,-17.69423,125.14299,93833,cf occidentalis
Gehyra cfoccidentalis,-17.47945,125.02886,93834,cf occidentalis
Gehyra cfoccidentalis,-17.6949,125.1442,93837,cf occidentalis
Gehyra cfoccidentalis,-18.10642,125.68745,93838,cf occidentalis
Gehyra girloorloo,-18.75,126.15,93842,girloorloo
Gehyra girloorloo,-18.75097,126.08003,96860,girloorloo
Gehyra girloorloo,-18.61407,126.08386,96861,girloorloo
Gehyra girloorloo,-18.61454,126.08339,96890,girloorloo
Gehyra girloorloo,-18.73717,126.09333,102016,girloorloo
Gehyra girloorloo,-18.3272,125.765,102017,girloorloo
Gehyra girloorloo,-18.3352,125.7524,38257,girloorloo
Gehyra girloorloo,-18.4044,125.837,38270,girloorloo
Gehyra girloorloo,-18.391,125.84,38274,girloorloo
Gehyra girloorloo,-18.5149,125.9256,38275,girloorloo
Gehyra girloorloo,-18.34298,125.74506,38279,girloorloo
Gehyra girloorloo,18.36966,125.73631,93779,girloorloo
Gehyra granulum,-16.0833,123.4167,93789,granulum
Gehyra granulum,-16.114167,123.6942,93794,granulum
Gehyra granulum,-16.120833,123.7319,93802,granulum
Gehyra granulum,-15.38513889,124.3631944,93806,granulum
Gehyra granulum,-15.30333333,124.2608333,93809,granulum
Gehyra granulum,-16.256389,123.8247,93828,granulum
Gehyra granulum,-16.120833,123.731944,93836,granulum
Gehyra granulum,-16.076944,123.550278,96891,granulum
Gehyra granulum,-16.623056,123.470278,96892,granulum
Gehyra granulum,-16.2225,123.449167,96893,granulum
Gehyra granulum,-16.429722,123.178611,96894,granulum
Gehyra granulum,-16.370556,124.23,96895,granulum
Gehyra granulum,-15.385556,124.361944,102013,granulum
Gehyra granulum,-15.949722,124.556389,102014,granulum
Gehyra granulum,-15.949444,124.558333,102015,granulum
Gehyra granulum,-16.5576,123.3554,58911,granulum
Gehyra granulum,-15.28333333,124.4011111,90655,granulum
Gehyra granulum,-16.043056,123.283056,90656,granulum
Gehyra granulum,-17.088889,128.184722,90657,granulum
Gehyra granulum,-16.220833,123.4475,90658,granulum
Gehyra granulum,-16.044167,123.54,93780,granulum
Gehyra granulum,-16.089167,123.55,93781,granulum
Gehyra granulum,-16.105,123.512222,102003,granulum
Gehyra granulum,-16.096389,123.553889,96797,granulum
Gehyra granulum,-16.560278,123.355556,96798,granulum
Gehyra granulum,-16.622778,123.470278,96801,granulum
Gehyra granulum,-17.1189,125.1329,96810,granulum
Gehyra granulum,-14.968611,124.9203,96845,granulum
Gehyra granulum,-15.39,124.593056,96847,granulum
Gehyra granulum,-14.466667,125.533333,96876,granulum
Gehyra granulum,-14.601944,125.203889,96877,granulum
Gehyra granulum,-14.671,125.733,96878,granulum
Gehyra granulum,-14.6723,125.7319,101997,granulum
Gehyra granulum,-15.38659788,124.5979287,101984,granulum
Gehyra granulum,-14.50555556,125.1277778,102011,granulum
Gehyra granulum,-14.970278,124.923056,96787,granulum
Gehyra granulum,-16.177778,127.9125,96788,granulum
Gehyra granulum,-16.00877,127.97836,96799,granulum
Gehyra granulum,-15.81594,128.0965,96800,granulum
Gehyra granulum,-15.989722,125.3294,96802,granulum
Gehyra granulum,-15.981,125.3731,96811,granulum
Gehyra granulum,-17.158889,125.307222,96839,granulum
Gehyra granulum,-17.04067,125.2268,96842,granulum
Gehyra granulum,-16.99333,125.20489,96844,granulum
Gehyra granulum,-16.99333,125.20481,101988,granulum
Gehyra granulum,-17.52945,126.20999,101989,granulum
Gehyra granulum,-16.99822,125.2067,101990,granulum
Gehyra granulum,-17.16653,125.34761,101993,granulum
Gehyra granulum,-16.54834,124.9961,101994,granulum
Gehyra granulum,-17.06739,125.24787,44453,granulum
Gehyra granulum,-17.16663,125.34776,44529,granulum
Gehyra granulum,-17.52972,126.31295,44550,granulum
Gehyra granulum,-15.3,124.25,44585,granulum
Gehyra granulum,-16.083333,123.416667,44649,granulum
Gehyra granulum,-16.994247,125.204267,44651,granulum
Gehyra granulum,-15.3554,124.5288,56702,granulum
Gehyra granulum,-14.601944,125.2039,57098,granulum
Gehyra granulum,-14.97866667,124.9230556,57755,granulum
Gehyra granulum,-16.254167,123.8249,58097,granulum
Gehyra granulum,-15.383333,124.3622,58313,granulum
Gehyra granulum,-15.9693,124.9238,58314,granulum
Gehyra granulum,-15.283333,124.4392,59251,granulum
Gehyra granulum,-15.29597222,124.3983,60514,granulum
Gehyra granulum,-16.383333,124.983333,60515,granulum
Gehyra granulum,-17.18083,124.35139,44672,granulum
Gehyra granulum,-14.9833,124.9167,44714,granulum
Gehyra granulum,-15.066667,125.2,55517,granulum
Gehyra granulum,-16.083611,123.541944,56566,granulum
Gehyra granulum,-16.105278,123.441111,56797,granulum
Gehyra granulum,-16.1,123.533333,56941,granulum
Gehyra granulum,-16.223889,123.449722,57097,granulum
Gehyra granulum,-16.504167,125.275,57584,granulum
Gehyra granulum,-15.986667,123.539167,57586,granulum
Gehyra granulum,-16.083889,123.541944,60527,granulum
Gehyra granulum,-16.088889,123.55,60540,granulum
Gehyra granulum,-16.148889,123.588333,86036,granulum
Gehyra granulum,-16.223333,123.451389,44583,granulum
Gehyra granulum,-15.466667,125.483333,51490,granulum
Gehyra granulum,-15.083333,125.2,52089,granulum
Gehyra granulum,-15.116667,125.55,55021,granulum
Gehyra granulum,-14.666667,127,57350,granulum
Gehyra granulum,-15.316667,124.533333,57370,granulum
Gehyra granulum,-16.256389,123.824444,57381,granulum
Gehyra granulum,-16.249444,123.819167,59250,granulum
Gehyra granulum,-16.253333,123.825556,85888,granulum
Gehyra granulum,-14.5,125.783333,85907,granulum
Gehyra granulum,-15.333333,124.333333,44469,granulum
